channel,train_mean_real,train_mean_fake,effect_size_fake_minus_real,absolute_effect_size,overall_train_variance,rank_by_absolute_effect
511,0.45948198,0.17515165,-0.388086792864736,0.388086792864736,0.5629659,406
626,-0.52695405,-1.0174799,-0.38766475243839343,0.38766475243839343,1.6701216,407
102,-0.33547387,-0.5297345,-0.3869763669675304,0.3869763669675304,0.2594214,408
699,-0.29394916,-0.6701495,-0.38623950960845277,0.38623950960845277,0.9646836,409
932,-0.40877077,-0.14168958,0.3861961909369015,0.3861961909369015,0.47870946,410
735,0.15173405,0.050672088,-0.3861384327365261,0.3861384327365261,0.0690565,411
693,0.1149323,0.2307176,0.3856314126694101,0.3856314126694101,0.09309048,412
691,0.31553763,0.21459432,-0.385255413685376,0.385255413685376,0.069548264,413
338,0.43196702,0.27733985,-0.38517822568686383,0.38517822568686383,0.15836746,414
1075,0.059462164,0.16645217,0.3844106110949478,0.3844106110949478,0.07800115,415
357,-0.94711214,-1.2309026,-0.3837986540445971,0.3837986540445971,0.54925627,416
796,-0.5067317,-0.21313049,0.38280237826382446,0.38280237826382446,0.5962592,417
990,-0.066369005,-0.3865691,-0.3827605878694359,0.3827605878694359,0.70334285,418
58,-1.3830429,-1.2344767,0.381251077028031,0.381251077028031,0.15284793,419
1086,0.20144774,0.41872513,0.3810072407635716,0.3810072407635716,0.31698474,420
797,-0.57324797,-0.94670475,-0.380432888894034,0.380432888894034,0.9693969,421
767,0.027947385,0.14377499,0.3803158309922695,0.3803158309922695,0.09493987,422
728,0.5248007,0.11226883,-0.37932032156715006,0.37932032156715006,1.2078665,423
1132,-0.31404927,-0.6583686,-0.37838303552590175,0.37838303552590175,0.82249445,424
1081,0.11402254,0.22393455,0.37823150521973586,0.37823150521973586,0.08636275,425
823,0.0725953,0.24308802,0.3774579249997194,0.3774579249997194,0.20885673,426
644,0.22717823,0.09785008,-0.3767417698044647,0.3767417698044647,0.12182454,427
323,-0.90784156,-0.6899986,0.37644110939198067,0.37644110939198067,0.34611621,428
768,-0.00024260407,0.27867398,0.3747495974254448,0.3747495974254448,0.57258075,429
244,-1.4142869,-1.148453,0.37432553513592826,0.37432553513592826,0.522606,430
433,0.3698043,0.23056053,-0.37384369158058,0.37384369158058,0.14242572,431
208,0.07905576,0.30542454,0.37361165763075727,0.37361165763075727,0.3765193,432
4,-0.4160817,-0.6366856,-0.3728696443062565,0.3728696443062565,0.3605164,433
65,-0.017734762,0.09325995,0.37237857548905706,0.37237857548905706,0.09140666,434
1267,0.07188659,0.14789104,0.37157704015461435,0.37157704015461435,0.042540375,435
328,0.15238574,0.050017625,-0.3713722988563091,0.3713722988563091,0.07895419,436
962,-0.00469687,0.104011096,0.37074370717484795,0.37074370717484795,0.08670702,437
1005,-0.31492287,-0.11627695,0.37053920870769314,0.37053920870769314,0.29745102,438
667,0.73245835,0.48779216,-0.3698194799057483,0.3698194799057483,0.44911826,439
395,0.17498657,0.2988817,0.36871234436770256,0.36871234436770256,0.11262876,440
807,-0.1483264,-0.41513523,-0.36724394455092735,0.36724394455092735,0.5298991,441
595,0.13918942,0.049346216,-0.3672092849542828,0.3672092849542828,0.062630646,442
1110,-0.08784457,-0.36711586,-0.3667599147819838,0.3667599147819838,0.5886345,443
661,0.33537826,0.19081855,-0.3663465621039809,0.3663465621039809,0.15266252,444
501,-2.4621503,-2.2489386,0.36602935860346314,0.36602935860346314,0.34697968,445
427,-1.6218523,-2.2232726,-0.36577007874957906,0.36577007874957906,2.854684,446
253,0.097793326,0.19320904,0.36544428569703663,0.36544428569703663,0.0682411,447
876,-0.35716793,0.10942348,0.36528860943950925,0.36528860943950925,1.6347867,448
535,-0.65418226,-0.3447367,0.36506104598293526,0.36506104598293526,0.7104829,449
205,-0.16532606,0.09150378,0.3636517872235918,0.3636517872235918,0.5035117,450
860,0.9354645,0.39917585,-0.36364597057052245,0.36364597057052245,2.217742,451
1020,-0.11084046,-0.35113016,-0.36329567698410004,0.36329567698410004,0.42348805,452
926,0.19862661,0.34861702,0.3630603944504207,0.3630603944504207,0.17196691,453
1275,-0.48909938,-0.26540795,0.36295719032908164,0.36295719032908164,0.38428828,454
70,-2.0195541,-2.4024575,-0.3628090156180139,0.3628090156180139,1.1769735,455
178,-1.6259696,-0.711243,0.3626537975892675,0.3626537975892675,6.6103735,456
489,-1.4609413,-1.8732529,-0.36115197662245957,0.36115197662245957,1.3370725,457
717,-0.5973573,-0.8476464,-0.36095901836435884,0.36095901836435884,0.47261488,458
75,0.32318145,0.22072192,-0.35970846514148075,0.35970846514148075,0.0806549,459
935,-0.84999293,-0.62580734,0.3591486925116283,0.3591486925116283,0.37520805,460
46,-0.6410531,-0.9639406,-0.35815977469062726,0.35815977469062726,0.80544025,461
1121,-0.89438194,-0.70375615,0.35815780852247475,0.35815780852247475,0.28723556,462
180,0.13463761,0.253111,0.35809819168984286,0.35809819168984286,0.11207646,463
761,-0.5734737,-0.8788196,-0.35691483846696875,0.35691483846696875,0.75355506,464
222,-0.97003937,-1.1941986,-0.3558144192682029,0.3558144192682029,0.39926767,465
362,0.18485278,0.3296874,0.35412156097768205,0.35412156097768205,0.17293778,466
521,-0.43319207,-0.021333246,0.35395306456527453,0.35395306456527453,1.434304,467
829,-1.097195,-0.8872941,0.3536605361201127,0.3536605361201127,0.3459044,468
567,0.11091533,-0.15091053,-0.3532671290288561,0.3532671290288561,0.56177396,469
415,0.04140806,0.15924361,0.35162663734133426,0.35162663734133426,0.11073638,470
1192,0.14548065,-0.3521071,-0.34961153385742205,0.34961153385742205,2.0383017,471
951,-1.0083174,-0.7492987,0.3493854941931158,0.3493854941931158,0.56130266,472
111,0.0045405924,0.084571004,0.34931482095006855,0.34931482095006855,0.054373335,473
771,0.2893475,0.20317626,-0.34920472551984455,0.34920472551984455,0.062433638,474
1135,-0.3637972,-0.0805003,0.34876920698665004,0.34876920698665004,0.69171506,475
212,0.06139004,0.13233171,0.3484251775241479,0.3484251775241479,0.04400658,476
62,0.5799007,0.39651406,-0.3483152276633608,0.3483152276633608,0.2806632,477
302,-0.5235607,-0.31795973,0.34828627601002576,0.34828627601002576,0.35276747,478
10,-0.3842658,-0.61413246,-0.3462625362959601,0.3462625362959601,0.44858173,479
340,-1.1519876,-1.5506119,-0.3458540993901237,0.3458540993901237,1.3617315,480
819,-0.045967545,0.10883648,0.345500856694851,0.345500856694851,0.19982609,481
272,0.060442775,0.2894385,0.3442828468631803,0.3442828468631803,0.44835544,482
1230,-0.2925765,-0.051515978,0.34400894880516303,0.34400894880516303,0.5056726,483
890,-0.19358395,-0.45533818,-0.3439727211578038,0.3439727211578038,0.5654548,484
230,0.05865721,0.14939,0.3424410717529678,0.3424410717529678,0.06906084,485
821,-1.565347,-1.1624339,0.3423546100829954,0.3423546100829954,1.345373,486
165,0.37493965,0.24808633,-0.3415741941488876,0.3415741941488876,0.1384484,487
566,0.038098007,0.1278939,0.3411736118121348,0.3411736118121348,0.07086422,488
185,-0.81234634,-0.9777009,-0.34111929661932705,0.34111929661932705,0.23842598,489
1053,-0.18805926,-0.6634879,-0.34108920166121054,0.34108920166121054,1.9815886,490
824,0.36178237,0.21153645,-0.3406907100581819,0.3406907100581819,0.19732122,491
692,-0.47354662,-0.22150771,0.3406344475189792,0.3406344475189792,0.56587785,492
999,-0.3447541,-0.7750688,-0.34010691402809473,0.34010691402809473,1.5566214,493
1019,-1.0702708,-0.74178857,0.3400304543519343,0.3400304543519343,0.926156,494
403,-0.35778493,-0.061913155,0.3396798820354535,0.3396798820354535,0.8096291,495
611,-1.1387036,-0.58562887,0.33925484836558895,0.33925484836558895,2.7889566,496
596,0.32236922,0.14248283,-0.3377532624764081,0.3377532624764081,0.2693763,497
1195,-0.0346995,0.16492526,0.33743132777697493,0.33743132777697493,0.34336904,498
858,-0.20708741,-0.6881274,-0.3368651861197646,0.3368651861197646,2.0625124,499
1114,0.25184563,-0.24525757,-0.33543787144350695,0.33543787144350695,2.1733396,500
368,0.10249115,0.18248276,0.3344932667407792,0.3344932667407792,0.056877848,501
1139,0.37933064,0.19464053,-0.3342010852292231,0.3342010852292231,0.3060917,502
732,-0.90754676,-0.69303995,0.33360030808816826,0.33360030808816826,0.42221117,503
866,0.33537385,0.2241043,-0.3335584713909735,0.3335584713909735,0.10783543,504
37,0.042179648,-0.20367989,-0.3333550719618904,0.3333550719618904,0.5526354,505
265,0.05121589,0.14710623,0.3331936400627028,0.3331936400627028,0.08395869,506
1268,-2.0197825,-1.8590128,0.3328151815716899,0.3328151815716899,0.23817052,507
248,-0.3784827,-0.11741049,0.3314617889580658,0.3314617889580658,0.60925543,508
939,-0.0036210483,0.114577495,0.33068634140298936,0.33068634140298936,0.13246915,509
1136,0.41315883,0.30097428,-0.3306215071568465,0.3306215071568465,0.11550423,510
841,0.25084955,0.13104759,-0.33018781004563025,0.33018781004563025,0.134854,511
1115,-0.3709955,-0.6882497,-0.32989664162340215,0.32989664162340215,0.9148156,512
1124,-0.38212752,-0.19860433,0.32935101139040457,0.32935101139040457,0.31456155,513
38,0.18449368,0.2589606,0.32917180555683656,0.32917180555683656,0.052480392,514
434,-1.2887096,-1.0054815,0.328706783086711,0.328706783086711,0.7445025,515
491,0.047568563,0.21721357,0.3286496477515156,0.3286496477515156,0.25785387,516
826,0.11860417,0.2008638,0.3283368250749264,0.3283368250749264,0.066036105,517
